rank,kp_pitch,kd_pitch,kx,kv,hip_pitch,knee,leg_kp,leg_kd,warning_count,finite,non_wheel_ground_contact_count,non_wheel_ground_contact_geoms,final_abs_pitch,peak_abs_pitch,peak_abs_x_drift,wheel_torque_saturation_fraction,standing_score,meets_standing_objective
312,15.0,4.0,16.0,10.0,-0.2,0.1,60.0,4.0,0,True,80,left_hip_pitch_collision,0.26560433205617173,0.3127472807948507,0.1687651676475442,0.0,1000000.0,False
313,15.0,4.0,16.0,12.0,-0.2,0.1,60.0,4.0,0,True,76,left_hip_pitch_collision,0.352431506313964,0.35752252411908936,0.16512917095803198,0.0,1000000.0,False
314,15.0,4.0,16.0,12.0,-0.2,0.18,60.0,4.0,0,True,57,left_hip_pitch_collision,0.28010304038103817,0.3635119778513475,0.1434776690767638,0.0,1000000.0,False
315,15.0,4.0,20.0,10.0,-0.2,0.1,60.0,4.0,0,True,86,left_hip_pitch_collision,0.1933256594023182,0.34415166550404,0.1681990735071853,0.0,1000000.0,False
316,15.0,4.0,20.0,10.0,-0.2,0.18,60.0,4.0,0,True,71,left_hip_pitch_collision,0.3873176829547897,0.3873176829547897,0.1747311557496596,0.0,1000000.0,False
317,15.0,4.0,20.0,12.0,-0.2,0.1,60.0,4.0,0,True,77,left_hip_pitch_collision,0.42943802523709707,0.42943802523709707,0.17465084831212468,0.0,1000000.0,False
318,15.0,4.0,20.0,12.0,-0.2,0.18,60.0,4.0,0,True,81,left_hip_pitch_collision,0.4338891881638655,0.4353089188242086,0.16396633928829077,0.0,1000000.0,False
319,15.0,4.0,20.0,12.0,-0.2,0.25,60.0,4.0,0,True,41,left_hip_pitch_collision,0.5322547832646884,0.5362446123714036,0.17721549391789176,0.0,1000000.0,False
320,15.0,6.0,16.0,10.0,-0.2,0.1,60.0,4.0,0,True,36,left_hip_pitch_collision,0.07323345141369193,0.2627749032613916,0.1874178665469372,0.0,1000000.0,False
321,15.0,6.0,16.0,12.0,-0.2,0.1,60.0,4.0,0,True,61,left_hip_pitch_collision,0.08072567857456915,0.27788115184447904,0.1731814626569141,0.0,1000000.0,False
322,15.0,6.0,20.0,10.0,-0.2,0.1,60.0,4.0,0,True,145,left_hip_pitch_collision,0.18210838109691194,0.2922526299581124,0.18693082194153052,0.0,1000000.0,False
323,15.0,6.0,20.0,10.0,-0.2,0.18,60.0,4.0,0,True,41,left_hip_pitch_collision,0.13043565283642455,0.24141205927610054,0.13404737194318764,0.0,1000000.0,False
324,15.0,6.0,20.0,12.0,-0.2,0.1,60.0,4.0,0,True,141,left_hip_pitch_collision,0.022299457046701946,0.3013718143943107,0.1710085230867268,0.0,1000000.0,False
